,F1,F2,F3,F4,F5
AM,0.04306740861370081,0.16385538005844355,-0.13046391315479883,0.0604665894963703,-0.12545725963617343
Accruals,-0.0011627599259327402,0.006372713205921901,0.022322840074457048,-0.014958227221661555,-0.006779580542772675
AccrualsBM,-0.015358220871180817,0.2575759586077244,-0.040993339418698566,0.0937773990236102,0.04877624803741511
AdExp,-0.040373391672321735,0.1197504460879923,-0.0683220620257747,0.02165951702273502,-0.0759321417203237
AssetGrowth,-0.03407904762547763,0.17608620914665474,0.11657089349504918,-0.02771671703275621,0.018588322256902816
BM,-0.035575003334129135,0.17197845176246718,-0.0068506433866884105,0.028935041123209448,-0.11419670338472827
BMdec,0.03428066383820522,0.1511713090649806,-0.0397540113632025,0.04839093166290037,-0.09226104411112503
BPEBM,-0.031254353190991645,-0.040032407227193784,0.023766621105230184,-0.06795040321120525,-0.024571537630194037
Beta,-0.23778810693003385,-0.03340744206000666,0.08175072292530285,0.12919790408994383,-0.0696194167685981
BetaFP,-0.26911834569101056,-0.11681373121612815,0.001172710514751085,0.16248792570486828,-0.12698054601900002
BetaLiquidityPS,-0.01418992367185599,-0.0007810425858502554,-0.007564858105204836,-0.06494705370110655,0.008729625726393951
BetaTailRisk,-0.07453422233304309,-0.028844026969203313,0.020308029946716367,0.11352725061324431,-0.04082489974263875
BidAskSpread,-0.25431306462639414,0.11745567888552878,0.020177846595225164,-0.07279559373433872,-0.022205516047209446
BookLeverage,-0.07491062626432844,-0.06704500727847185,0.06982530857090151,-0.11887216933754349,0.07741208147848612
BrandInvest,-0.1181369189490339,0.06506832417721661,0.11123305262012662,-0.170449448718667,0.012940269032782668
CBOperProf,0.08051914662325237,0.00232819037660954,0.005905514344794522,-0.07619099161685133,0.0998216507131169
CF,0.07363886419100937,0.002008132690300441,-0.10820078352567411,0.11310507206397848,-0.04921989769488564
CashProd,0.005709980490056854,0.11823348385731686,-0.1458353501413456,0.03126892965256483,-0.03334823524511229
ChAssetTurnover,0.0007542425246571035,-0.021014753514645754,-0.01246172739532286,-0.02652200726153091,-0.030492270582963974
ChEQ,-0.03470943307895557,0.11816128558757033,0.03520756652561027,-0.06140098547104471,-0.046917753630665644
ChInv,-0.0074661597179032715,0.0786175166358695,0.038535139686401265,-0.014063977605088823,-0.00785181594791694
ChInvIA,-0.02695525170034046,0.024621947956148135,0.008163801064410118,-0.033027554361544795,-0.013974241296835927
ChNNCOA,0.0001250959388972172,-0.01550339524287024,0.0003724567671344825,-0.03438630884194252,-0.04286940639682718
ChNWC,-0.007062257678538472,-0.024506757207533796,-0.014778662837155806,-0.027379205196932502,-0.02540208064514718
ChTax,0.03259957339588037,0.00608519923150063,0.10296090643621666,0.07079995774490276,0.0647119489741502
CompEquIss,0.016501961229169245,-0.03303724803627685,0.02407928572364771,-0.009443269474044612,-0.027131460883797087
CompositeDebtIssuance,0.009160652404180493,0.0017469592596094017,-0.0036681632955694954,-0.03277601646941784,-0.021958160328634225
ConvDebt,0.03396515225433839,0.007265641018363911,-0.011466187483311607,-0.03680993644221063,-0.018874431004318064
CoskewACX,-0.006574874125989504,-0.010371354887183168,0.0178484070450653,0.03236654789739638,-0.03300941946848552
Coskewness,-0.022316213883890296,-0.019968733670837475,-0.029427435133820852,0.03733462691486142,0.00249250408802134
DelCOA,0.0039027714223171103,0.06695594766494968,-0.004498056598973259,-0.031880913185257403,-0.031659259300098705
DelCOL,0.007417685216945371,0.052225143810065246,-0.027002786687732268,-0.03032252504124525,-0.05804828191892962
DelEqu,-0.042398519749038265,0.11988060760361716,0.030290119937233715,-0.07336896189072535,-0.049384681028730455
DelFINL,0.01124758033254522,0.035170975321380187,0.025527972093874092,0.009209012948299414,0.0053155337722980795
DelLTI,-0.027906828765566858,-0.00036637467710348926,0.01003545086106537,-0.047039819300419394,-0.024222650722301318
DelNetFin,0.024108622772430165,-0.007135248926937205,-0.005634951036218284,-0.00217463937389514,-0.005905463351851905
DivInit,0.06375364005410496,0.011848211849905177,-0.024738169595114278,0.033272119462001225,-0.05932203366622197
DivOmit,-0.025340945934569044,-0.012623504285450766,0.09719996095826004,-0.002535101329448399,0.08824785117835096
DivSeason,-0.0029505534285841524,0.0006548040750893679,0.0022033066326671586,-0.004574569394076905,-0.006821695426343576
DivYieldST,0.015395482245258914,0.05180043001291766,-0.009100100404098407,0.007364851819960858,0.04669188598053951
DolVol,-0.04197553374011557,0.17852161575729206,-0.03023195792090851,-0.11410731116910847,0.0046167671598470105
EBM,-0.008486219023629529,0.013232280787413645,-0.030291941482660283,-0.02657690502496714,-0.05667709149348872
EP,-0.021273629896713126,0.06833721292134545,-0.07654508696336806,0.012481206939008064,-0.09342465550320833
EarnSupBig,0.03698912666734035,0.006750578944809009,0.010216563488194445,0.005842827206655665,-0.032614629309718604
EarningsConsistency,0.02199920079987422,-0.0454738970251783,-0.013460905307803367,0.02180833273757448,-0.01431994874503068
EarningsSurprise,0.020929203461484632,0.02107293530983805,0.06455149973606092,0.013751536960814999,0.022587884597777417
EntMult,0.05111090022249366,0.1243404980331428,-0.073953011068091,0.04805206683392281,-0.0370796964669437
EquityDuration,0.0524396019809836,0.10240990630278134,-0.0758848063828223,0.06643020980105363,-0.11800842820093334
ExchSwitch,-0.003165304349034767,0.07563525688230936,0.019964254022235537,-0.06872943563287272,0.03145172239956608
FirmAge,-0.07187224116272083,-0.04819539991842766,-0.012403476336285165,-0.0297840082020403,-0.06792297258735595
FirmAgeMom,0.09202973598062356,0.10186355614951283,0.24008385134618673,0.04471723171924808,-0.034958565548019835
Frontier,-0.053341894325873336,0.25518118960384656,-0.00012337844567115745,0.03591449447352026,0.07778904636988347
GP,0.02559615350410743,-0.022404042007137904,0.0039935904851218455,0.026876826726176337,0.024272714308007003
GrAdExp,0.013316026906611598,0.023266744830092917,0.005450455599258556,-0.02457817612885377,-0.05918875852966212
GrLTNOA,-0.003670360223640622,-0.002817101705789335,-0.004439502821545844,-0.046979392385394524,-0.03370656099020463
GrSaleToGrInv,-0.0015005571045399726,-0.014340698832119636,-0.0013304844103012782,-0.029337382591999667,-0.04153498045936997
GrSaleToGrOverhead,0.0033889019628401077,-0.06435204281022938,-0.04440365620993332,-0.037377255219841386,-0.04560911233464068
Herf,-0.04018361566701829,-0.034689982290236086,0.02293533241038575,-0.09487157063550666,0.007187532577918042
HerfAsset,-0.03868110312603522,-0.04154336908047421,0.026475027052479727,-0.11258616891117551,-0.025285475524183344
HerfBE,-0.03262636089091393,-0.03975573730839485,0.02780180107767443,-0.10573462231685107,-0.020128126452109787
High52,0.17795144879421612,-0.05243985648097749,0.050721234948741575,-0.053534500229147595,-0.12112929145967415
IdioVol3F,0.2119305026474121,0.06906603166536535,-0.08713500950686896,-0.043735809958794454,0.10355563722367911
IdioVolAHT,0.22937436049205845,0.032913088701514444,-0.15744940879902622,-0.025663688836351808,0.0960942369144117
Illiquidity,-0.023098947478252207,0.04726901120385874,0.0011185145136042942,-0.08144040407623421,-0.07931856267101212
IndMom,0.010287590198276915,-0.01554990525473111,0.11006300530781915,-0.04775030182326816,-0.12572137139352943
IndRetBig,0.03304058688902636,0.13167384208478378,0.17071003230377985,0.1130891998618951,0.1071955862708936
IntMom,0.0979224334004671,0.02684762105863672,0.22454447358367102,0.10756884241572418,0.08575207332327761
IntanBM,-0.03639097463397132,0.09523616721678849,-0.13307285575054695,0.04569244758128211,-0.058220033253622364
IntanCFP,-0.023316359193928236,0.08575671658280926,-0.14383153387127987,0.07470560179110382,-0.03213230980196643
IntanEP,-0.008547884215866388,0.0758647495903008,-0.07193160340202813,-0.008795777112905327,-0.11085447138736822
IntanSP,-0.10873964654317611,0.14499771996094657,0.0003639493359625764,-0.058172436567785875,-0.0900251031953751
InvGrowth,-0.0015530322027089392,0.09250671263543803,0.05059085439129269,0.004494510763247802,0.006708453825316466
InvestPPEInv,-0.006229589283374155,0.08055116407715757,0.03146595489009108,-0.03539852415122352,-0.011486713397472025
Investment,-0.019744555617383575,-0.01031121018058762,0.007811458384719971,-0.01853459528919416,-0.09047083533140354
LRreversal,-0.10113495140201176,0.15951575262169293,0.03939688522213845,-0.0810041625658721,-0.0905258856196163
Leverage,0.05288260092703788,0.13361856248574355,-0.14271903565633542,0.06786764074478163,-0.15758278494372274
MRreversal,-0.05485167866642099,0.07675246563180362,0.014000267757984965,-0.0850060546080025,-0.05111578946607763
MaxRet,0.21799054869382467,0.09160784412070841,-0.10692480550271147,-0.07605459186318592,0.13041256743912372
MeanRankRevGrowth,-0.008036404052108719,0.029127910500735463,-0.013240163560422668,-0.039923262166695256,-0.05474552025080714
Mom12m,0.19998763185637172,-0.056886849096840525,0.24341373832198984,0.08492748553193528,-0.18808946478968777
Mom12mOffSeason,0.17849126866423526,-0.013037440833753562,0.2924857431122043,0.03956959492127058,-0.07176946226730406
Mom6m,0.18655333311313224,-0.03102050706919176,0.22089566748512068,0.03430129574858772,-0.24079572631491222
MomOffSeason,-0.06928116450743253,0.23257735824989323,-0.01074618655727086,0.014212881491104442,-0.034780752056528454
MomOffSeason06YrPlus,0.006280466500406908,0.06323515148924659,0.03569518079613182,-0.005554665244650403,-0.02704347599596977
MomOffSeason11YrPlus,-0.02031795910893235,-0.005194748850881057,-0.010580956726971555,-0.056414929751007016,-0.028387005563166832
MomOffSeason16YrPlus,-0.024431220943816695,0.028203541207013506,0.0019771191919030497,-0.02786476294588026,-0.017187436759032622
MomRev,0.06311384612724169,0.1176246426014859,0.20367849600085147,-0.05201086685504503,-0.2343163158544689
MomSeason,0.005254033174667016,0.010377839825309662,0.012967150938446836,0.039545916545172276,0.10806629303960569
MomSeason06YrPlus,-0.0034579639505876885,0.03278848927865553,-0.0007220899580746461,0.03325326559148734,0.051884528569385295
MomSeason11YrPlus,0.004621166945659641,0.03286702872355473,0.011046325682939293,0.02190559380529764,0.04517001507143497
MomSeason16YrPlus,-0.0031209520187751665,0.04610503773340619,0.0007467037125930566,0.022465440335100176,0.042194291684212515
MomSeasonShort,0.025784145789063528,0.033216646783099574,0.06292401323116104,0.08646068391263928,0.08659555294547296
MomVol,0.18269379470076852,0.06646748680193468,0.3738456686197508,-0.029443312378950086,-0.04326429749981152
NOA,-0.010679447829788509,0.08479175367629409,0.09216241579780633,-0.07635479847024922,0.037630663808536476
NetDebtPrice,-0.023086462542844386,-0.04811784626524741,0.09959552646582483,-0.10797607315150679,0.1638425293840634
NetPayoutYield,0.13157777378020646,0.10220142686867052,-0.047810265036973575,0.1391944309541818,-0.05437688283043067
NumEarnIncrease,0.027242032385113368,0.008089782169742417,0.013073555005011952,0.004834142949445058,0.00028007756050127115
OPLeverage,-0.07995878391021506,0.009029849672864205,0.05451334597024739,-0.004865777549211841,0.01269548664777058
OperProf,0.09111067668789498,0.005712182337157311,-0.06967151960830001,0.08414692862181611,-0.01411727920440484
OperProfRD,0.100132052321133,-0.014336452037274466,-0.024464720008551922,-0.05471472076068657,0.10887172212533933
OrgCap,0.02462616031039617,-0.007279630471662758,0.004561949739545307,-0.015939519216665716,-0.01840826344772557
PayoutYield,-0.004800165446101023,0.07827523611872632,-0.036583725166631206,-0.04552935558767513,-0.09801058935773103
PctAcc,0.02045296454020606,0.018177724202751586,-0.012898861881354612,0.012748967491494687,-0.02891999487729539
Price,-0.21678968405562007,0.15017762418271297,-0.010821814277548724,-0.09131605004264087,0.07835731800340344
PriceDelayRsq,-0.0013911059867786565,0.1145354292674787,0.017360754758083526,-0.18787286394173666,-0.04541640546553515
PriceDelaySlope,-0.0016425490164791526,0.015408971315240086,-0.011880524246644928,-0.12265180362852005,-0.01673348369739918
PriceDelayTstat,-0.0009956166084484045,0.01499245436080868,-0.011801449571931716,-0.12182679489743688,-0.01584665943603053
RD,-0.11135717068333172,0.056695730225620355,0.16248436134110053,-0.059483352196576224,0.12048929229657819
RDAbility,-0.005719334817320128,-0.011726447826511078,0.001164747064888955,-0.0014280588902282785,-0.0281119232429408
RIO_MB,-0.053789924778072686,0.04986053411419955,0.08621938545274405,0.02619409905777431,-0.12005146055872237
RIO_Turnover,0.0037738997362748825,0.08944523578850158,0.001026872422164219,0.009377073622046017,-0.11120257568491465
RIO_Volatility,0.01712125629135613,0.11973180114596138,0.02499652572333679,0.06189176954914286,-0.08153502676192637
RealizedVol,0.22796231577769496,0.09248939605909683,-0.11712243775493765,-0.10312237063693104,0.10095856576100691
ResidualMomentum,0.0633195071153422,0.04279272003707263,0.156311546021925,0.030043394012192366,-0.014365688925126258
ReturnSkew,0.041700871545684366,0.003289038522592225,-0.035671074366456335,0.01691288558242185,0.009558215476175216
ReturnSkew3F,0.026914579547064332,-0.0073894261393303105,-0.04778542143866648,-0.0033831992231086374,-0.0014166247272974003
RevenueSurprise,0.02881350747709794,0.008886620362428136,0.04603861082499506,0.011993783178953206,0.01193381169404908
RoE,0.05500713290303533,-0.01774844212896168,-0.07229432808785162,0.04078685656756717,-0.000513794424647594
SP,0.025012382532995158,0.17944861999750103,-0.08045902819621921,0.1481627486544744,-0.10996488995629781
STreversal,-0.0869851410118402,0.2206374653875383,0.08751889421549401,0.31028391292075136,0.5028323820505662
ShareIss1Y,0.09840039671387352,0.07230136077681439,-0.029069051006188267,0.08800856344400368,-0.05539842182824553
ShareIss5Y,0.09691577630254185,0.0325683785884354,-0.03380494483693376,0.07208380717996195,-0.042311300307072856
ShareVol,0.04933083980732569,0.037685003668462246,-0.021315101116125685,-0.08984888663124502,0.020237209962217843
Size,-0.06953389630214188,0.07376610722779288,0.011129986782490126,-0.12266906097388681,-0.04971250718383631
Spinoff,-0.04881818724834616,-0.04617349576022817,0.05159937713130435,-0.006101659654446841,-0.06278733558333766
SurpriseRD,-0.038033721496014694,-0.026672230016029645,0.02746397785763775,-0.05092335221254676,-0.0006322643660448197
Tax,0.023657164804198088,0.013434888086681503,-0.0486799683183347,0.04330986611173323,-0.005059561051024725
TotalAccruals,-0.061925121584495056,0.04486885423269331,0.03172979546496122,-0.09150412750850959,-0.03279572300959251
TrendFactor,0.005429530874463519,0.1035373021697254,0.14059917767571728,0.11744311173690034,0.05406521149988478
VarCF,0.14349216317494493,-0.1736293538829712,-0.1153232475274179,-0.06935037591926307,-0.037785171545789836
VolMkt,0.12234443025510987,0.09175951890163822,-0.07944468872713521,-0.13325341807713575,0.0009419349712138297
VolSD,0.054106581699048105,0.03228860865764132,-0.01704483755996008,-0.17647356884537607,0.013692231069545866
VolumeTrend,0.01972351205566421,0.1138016185136688,0.0036221551291115844,-0.03746040924576788,-0.02014357679183811
cfp,0.11958548420033942,0.0062476991756424665,-0.09461268239956926,0.14945724084553927,-0.12282935257492772
dNoa,-0.005036224061845274,0.11253779118324093,0.056443819126386414,-0.013487630698600296,0.004480882121868147
grcapx,-0.003197785816930172,0.05115798288571447,0.008647773561977658,-0.025177019885694537,-0.05207837266232258
grcapx3y,-0.021887812452684268,0.06195032691408158,0.020405706620431785,-0.04149481841896021,-0.04680621160362366
hire,-0.006558079040787522,0.07738026080939911,0.007979167842660643,-0.02220233274276936,-0.058382050339537896
roaq,0.15497929923347512,0.020535100689933878,0.00537967025910176,0.24204959841624482,0.08613196231368851
sinAlgo,-0.0016789988211128963,-0.013085079867276018,-0.027278590116909918,-0.006262817300693829,-0.03636299966375418
std_turn,0.1551479016594785,0.024703306136193107,0.011640951537497297,-0.21036595999227045,0.1098874121329091
tang,-0.049986471733754555,-0.011082204008662486,0.08754100191235945,-0.11796363211390094,0.06400821499015842
zerotrade12M,0.10634116395497134,0.08490683550658083,-0.017103863236961038,-0.21439182346293353,0.08134607371649058
zerotrade1M,0.09633377518576146,0.08428008670399263,-0.01274082192169239,-0.182930811999838,0.08521009808231692
zerotrade6M,0.09917184444419218,0.09461720019859526,-0.024378320148409304,-0.21018896672262719,0.09659909280812033
