ticker,comnam,siccd,r2,similarity,theme,etf,rank,weight_eq,weight_sim
NEOG,NEOGEN CORP,2830,0.19809256957927757,0.9966155846898408,AI Infrastructure,DTCR,1,0.04,0.04033219868431035
AGP,AMERIGROUP CORP,6324,0.30133494737057565,0.9955302019794133,AI Infrastructure,DTCR,2,0.04,0.04028827415433313
W,WAYFAIR INC,5961,0.5926066014814473,0.9939473731438699,AI Infrastructure,DTCR,3,0.04,0.04022421839596541
KNX,KNIGHT SWIFT TRANSPORT HDLGS INC,4213,0.36214151648791737,0.993174076958039,AI Infrastructure,DTCR,4,0.04,0.04019292374646577
KKR,K K R & CO INC,5611,0.3916924149072126,0.9930451257158135,AI Infrastructure,DTCR,5,0.04,0.04018770519760709
ROSE,ROSETTA RESOURCES INC,1311,0.3750380711462431,0.9919000946187382,AI Infrastructure,DTCR,6,0.04,0.0401413667473396
FOX,FOX ENTERTAINMENT GROUP INC,4833,0.4681475170455044,0.9917024159983217,AI Infrastructure,DTCR,7,0.04,0.04013336685900074
BLDR,BUILDERS FIRSTSOURCE INC,2421,0.393234409901256,0.9907309774411648,AI Infrastructure,DTCR,8,0.04,0.040094053553551036
CDW,C D W CORP NEW,9999,0.33859271147795844,0.9906059778290994,AI Infrastructure,DTCR,9,0.04,0.04008899492385797
RMD,RESMED INC,3841,0.11745247603834685,0.9902836292692868,AI Infrastructure,DTCR,10,0.04,0.04007594974740309
APH,AMPHENOL CORP NEW,3678,0.496180613179947,0.989027122618753,AI Infrastructure,DTCR,11,0.04,0.04002509997477661
SLH,SOLERA HOLDINGS INC,7371,0.16310685583059636,0.9889091784608067,AI Infrastructure,DTCR,12,0.04,0.040020326873407314
FOXF,FOX FACTORY HOLDING CORP,9999,0.3659185567709742,0.9882279483119822,AI Infrastructure,DTCR,13,0.04,0.0399927580593789
INT,WORLD FUEL SERVICES CORP,5172,0.15220764622601723,0.9877800811543187,AI Infrastructure,DTCR,14,0.04,0.03997463325031053
BLD,TOPBUILD CORP,1742,0.4098748320518655,0.9871029340423083,AI Infrastructure,DTCR,15,0.04,0.03994722967336506
DNB,DUN & BRADSTREET HOLDINGS INC,7323,0.4525347748535292,0.9861095503884794,AI Infrastructure,DTCR,16,0.04,0.039907028268218014
LBRDK,LIBERTY BROADBAND CORP,9999,0.2859883434227807,0.9851953410449739,AI Infrastructure,DTCR,17,0.04,0.03987003098115192
JBL,JABIL INC,3672,0.3875394620098458,0.9849291763871583,AI Infrastructure,DTCR,18,0.04,0.03985925952019277
LKQ,L K Q CORP,5015,0.2699705509110272,0.9848174592656089,AI Infrastructure,DTCR,19,0.04,0.0398547384217753
MFE,MCAFEE INC,7372,0.3754825294433156,0.9846217057610542,AI Infrastructure,DTCR,20,0.04,0.039846816441264324
HCSG,HEALTHCARE SERVICES GROUP INC,7340,0.07691794793304507,0.983967093224357,AI Infrastructure,DTCR,21,0.04,0.03982032481972348
BX,BLACKSTONE INC,6282,0.40770332783685104,0.9836309740411308,AI Infrastructure,DTCR,22,0.04,0.03980672235766314
BR,BROADRIDGE FINANCIAL SOLUTNS INC,7389,0.1742306776182556,0.9829643252497318,AI Infrastructure,DTCR,23,0.04,0.03977974363896717
HLI,HOULIHAN LOKEY INC,6282,0.4903629857295001,0.9829537381476003,AI Infrastructure,DTCR,24,0.04,0.03977931518780384
PCLN,PRICELINE COM INC,7389,0.2102824032170798,0.9824003620978148,AI Infrastructure,DTCR,25,0.04,0.039756920522167505
EEFT,EURONET WORLDWIDE INC,6099,0.17581652152294502,0.9986427107160655,Energy Independence,NLR,1,0.04,0.04055169419393643
EVR,EVERCORE INC,6211,0.5413320714511072,0.9973626244056626,Energy Independence,NLR,2,0.04,0.040499713973138465
VSAT,VIASAT INC,3660,0.15307673602121252,0.9906055206401352,Energy Independence,NLR,3,0.04,0.04022532954856294
TDW,TIDEWATER INC NEW,4424,0.2815991236062474,0.9898827782857061,Energy Independence,NLR,4,0.04,0.04019598128754495
OC,OWENS CORNING NEW,3292,0.4465821628037073,0.9887379336979386,Energy Independence,NLR,5,0.04,0.040149492801598415
ARMK,ARAMARK,5812,0.33387690510982315,0.9882052954009335,Energy Independence,NLR,6,0.04,0.04012786405980282
NUS,NU SKIN ENTERPRISES INC,2844,0.12988345749706487,0.9863160168851839,Energy Independence,NLR,7,0.04,0.04005114648724585
TDS,TELEPHONE & DATA SYSTEMS INC,4813,0.20027922320014535,0.9862197966638975,Energy Independence,NLR,8,0.04,0.04004723929106146
GNTX,GENTEX CORP,3710,0.3478690095317377,0.9851192789861511,Energy Independence,NLR,9,0.04,0.040002550779500615
HGV,HILTON GRAND VACATIONS INC,7011,0.4367252593317529,0.9850353863722959,Energy Independence,NLR,10,0.04,0.03999914416812131
TGI,TRIUMPH GROUP INC NEW,3728,0.24967993779542352,0.9845599281544414,Energy Independence,NLR,11,0.04,0.03997983732690018
ELAN,ELANCO ANIMAL HEALTH INC,2834,0.31722252941013507,0.9842439469881126,Energy Independence,NLR,12,0.04,0.03996700633991103
VVV,VALVOLINE INC,7538,0.4318215203925947,0.9838462038480784,Energy Independence,NLR,13,0.04,0.039950855260040996
TLB,TALBOTS INC,5621,0.21072308139581786,0.9836597939545109,Energy Independence,NLR,14,0.04,0.039943285749026135
CAKE,CHEESECAKE FACTORY INC,5810,0.33838030819809806,0.983164957174806,Energy Independence,NLR,15,0.04,0.03992319200623787
B,BARNES GROUP INC,3495,0.4790802233009912,0.9830598254635741,Energy Independence,NLR,16,0.04,0.03991892294287996
FNF,FIDELITY NATIONAL FINL INC NEW,6361,0.12015495802916265,0.982571862474138,Energy Independence,NLR,17,0.04,0.039899108322782866
TEX,TEREX CORP NEW,3537,0.4837201314398001,0.9819331037318537,Energy Independence,NLR,18,0.04,0.039873170368294374
LMCA,LIBERTY MEDIA CORP 3RD NEW,9999,0.7679275254575629,0.9818771132000229,Energy Independence,NLR,19,0.04,0.03987089677144117
STLD,STEEL DYNAMICS INC,3310,0.44349020201493505,0.9806956777528845,Energy Independence,NLR,20,0.04,0.03982292244744307
VC,VISTEON CORP,3714,0.4478091005031898,0.9805601970551615,Energy Independence,NLR,21,0.04,0.039817421008575805
HUBB,HUBBELL INC,3699,0.3104118385461272,0.9802386776399594,Energy Independence,NLR,22,0.04,0.039804365130970354
CYMI,CYMER INC,3550,0.431082775054222,0.9802018005898469,Energy Independence,NLR,23,0.04,0.03980286767162589
EQH,EQUITABLE HOLDINGS INC,6411,0.5975519080259841,0.9800805034724303,Energy Independence,NLR,24,0.04,0.03979794218270047
CAM,CAMERON INTERNATIONAL CORP,3492,0.26346785054136557,0.9795906274553996,Energy Independence,NLR,25,0.04,0.0397780498806565
VVV,VALVOLINE INC,7538,0.4318215203925947,0.9989078544696124,US Housing & Consumer,HOMZ,1,0.04,0.04027447369035274
TDS,TELEPHONE & DATA SYSTEMS INC,4813,0.20027922320014535,0.9980686619113429,US Housing & Consumer,HOMZ,2,0.04,0.040240638699009006
DAN,DANA INC,3714,0.5186024312797439,0.9971138878420289,US Housing & Consumer,HOMZ,3,0.04,0.04020214363366063
TEX,TEREX CORP NEW,3537,0.4837201314398001,0.9956171918237681,US Housing & Consumer,HOMZ,4,0.04,0.04014179908422077
STLD,STEEL DYNAMICS INC,3310,0.44349020201493505,0.9952948353740725,US Housing & Consumer,HOMZ,5,0.04,0.040128802153328605
VC,VISTEON CORP,3714,0.4478091005031898,0.9943309250082191,US Housing & Consumer,HOMZ,6,0.04,0.04008993872614088
BC,BRUNSWICK CORP,3519,0.4488509364999208,0.9937366137755002,US Housing & Consumer,HOMZ,7,0.04,0.040065976984325645
ALB,ALBEMARLE CORP,2821,0.4971846349963658,0.9935490599320631,US Housing & Consumer,HOMZ,8,0.04,0.04005841509330713
SCCO,SOUTHERN COPPER CORP,1021,0.3641262083750806,0.9929292202839215,US Housing & Consumer,HOMZ,9,0.04,0.04003342408388658
ELAN,ELANCO ANIMAL HEALTH INC,2834,0.31722252941013507,0.9927874465656794,US Housing & Consumer,HOMZ,10,0.04,0.04002770797918305
HGV,HILTON GRAND VACATIONS INC,7011,0.4367252593317529,0.9923744666306094,US Housing & Consumer,HOMZ,11,0.04,0.040011057244628105
VSAT,VIASAT INC,3660,0.15307673602121252,0.9923083993802122,US Housing & Consumer,HOMZ,12,0.04,0.04000839351170619
NATI,NATIONAL INSTRUMENTS CORP,7373,0.3718218270304203,0.9920533895474122,US Housing & Consumer,HOMZ,13,0.04,0.03999811189588354
EVR,EVERCORE INC,6211,0.5413320714511072,0.9916011145359162,US Housing & Consumer,HOMZ,14,0.04,0.039979876842500185
NDSN,NORDSON CORP,3560,0.45879519064194185,0.9914140472906658,US Housing & Consumer,HOMZ,15,0.04,0.03997233457039426
CAM,CAMERON INTERNATIONAL CORP,3492,0.26346785054136557,0.9908307816402345,US Housing & Consumer,HOMZ,16,0.04,0.03994881816996986
B,BARNES GROUP INC,3495,0.4790802233009912,0.9901536057677957,US Housing & Consumer,HOMZ,17,0.04,0.03992151544956753
TXRH,TEXAS ROADHOUSE INC,5812,0.23597615090766555,0.9898674346676772,US Housing & Consumer,HOMZ,18,0.04,0.0399099774579589
LPX,LOUISIANA PACIFIC CORP,2421,0.29501238777811023,0.9894201783518228,US Housing & Consumer,HOMZ,19,0.04,0.039891944750892756
TDW,TIDEWATER INC NEW,4424,0.2815991236062474,0.9886563453392986,US Housing & Consumer,HOMZ,20,0.04,0.0398611481439494
BECN,BEACON ROOFING SUPPLY INC,5033,0.30048325388643105,0.988580192370152,US Housing & Consumer,HOMZ,21,0.04,0.03985807776990177
LECO,LINCOLN ELECTRIC HOLDINGS INC,3540,0.6115254715973097,0.9882838975167303,US Housing & Consumer,HOMZ,22,0.04,0.039846131603671
WSC,WILLSCOT HOLDINGS CORP,9999,0.3328953516480363,0.9882412486338114,US Housing & Consumer,HOMZ,23,0.04,0.039844412064370796
COLM,COLUMBIA SPORTSWEAR CO,5130,0.3156935089344357,0.9882149639716585,US Housing & Consumer,HOMZ,24,0.04,0.03984335230602613
AIZ,ASSURANT INC,6331,0.2342947308282718,0.9881697188725528,US Housing & Consumer,HOMZ,25,0.04,0.039841528091164466
CHDN,CHURCHILL DOWNS INC,7940,0.21493229922683954,0.9956075478695956,Bio-Economy & Longevity,AGNG,1,0.04,0.04049035724465972
MANH,MANHATTAN ASSOCIATES INC,7370,0.2374007611088238,0.9947053474863918,Bio-Economy & Longevity,AGNG,2,0.04,0.040453665662820715
IEX,IDEX CORP,3561,0.5492724789825201,0.9923049094764165,Bio-Economy & Longevity,AGNG,3,0.04,0.04035604226414768
NTRA,NATERA INC,9999,0.37979928880044067,0.9911287502200133,Bio-Economy & Longevity,AGNG,4,0.04,0.040308209050578456
LVNTA,LIBERTY INTERACTIVE CORP,4841,0.2539785637136428,0.9882140403433093,Bio-Economy & Longevity,AGNG,5,0.04,0.04018967073251847
VMW,VMWARE INC,7372,0.20743842507168986,0.9878022697167317,Bio-Economy & Longevity,AGNG,6,0.04,0.04017292443543719
IAC,IAC INC,4833,0.22845123026874492,0.9858616368482942,Bio-Economy & Longevity,AGNG,7,0.04,0.0400940008492391
SQ,BLOCK INC,7372,0.5376897573738998,0.9853797857408009,Bio-Economy & Longevity,AGNG,8,0.04,0.04007440444951022
WEN,WENDYS CO,5812,0.1418823586547826,0.9837755025327125,Bio-Economy & Longevity,AGNG,9,0.04,0.040009159865581435
ULTI,ULTIMATE SOFTWARE GROUP,7370,0.32108499608565233,0.9832556150485701,Bio-Economy & Longevity,AGNG,10,0.04,0.03998801656468441
ANSS,ANSYS INC,7370,0.38922339720236976,0.9829734697231437,Bio-Economy & Longevity,AGNG,11,0.04,0.0399765419981789
COHR,COHERENT CORP,3827,0.46527324739744536,0.982815810812178,Bio-Economy & Longevity,AGNG,12,0.04,0.0399701301688979
ODFL,OLD DOMINION FREIGHT LINE INC,4210,0.39667008655310165,0.9823337852922256,Bio-Economy & Longevity,AGNG,13,0.04,0.039950526675989806
DECK,DECKERS OUTDOOR CORP,2389,0.3148590776750251,0.9820412440749514,Bio-Economy & Longevity,AGNG,14,0.04,0.03993862931902263
HEI,HEICO CORP NEW,3724,0.40958608708399746,0.9819322241254897,Bio-Economy & Longevity,AGNG,15,0.04,0.039934195587368077
IBKR,INTERACTIVE BROKERS GROUP INC,6211,0.2094388951969991,0.9814491280962865,Bio-Economy & Longevity,AGNG,16,0.04,0.03991454855792583
MTSI,MACOM TECHNOLOGY SOLS HLDS INC,9999,0.31244827866101244,0.9797103685612477,Bio-Economy & Longevity,AGNG,17,0.04,0.03984383495708288
PANW,PALO ALTO NETWORKS INC,7371,0.26541037017102365,0.9792519910933772,Bio-Economy & Longevity,AGNG,18,0.04,0.039825193206659545
SPXC,S P X TECHNOLOGIES INC,3443,0.3504872386325215,0.978806923252382,Bio-Economy & Longevity,AGNG,19,0.04,0.03980709274536978
WSO,WATSCO INC,5075,0.3088999392727644,0.9787540111225919,Bio-Economy & Longevity,AGNG,20,0.04,0.03980494086228858
GDDY,GODADDY INC,7373,0.31182857714054546,0.9785825647560544,Bio-Economy & Longevity,AGNG,21,0.04,0.039797968311061686
MSA,M S A SAFETY INC,3842,0.3142462788038545,0.9783054399100448,Bio-Economy & Longevity,AGNG,22,0.04,0.03978669792240271
THC,TENET HEALTHCARE CORP,8062,0.20587299687146932,0.978185832670055,Bio-Economy & Longevity,AGNG,23,0.04,0.039781833616294754
ACM,A E C O M,8711,0.3106299224084049,0.9780211757178935,Bio-Economy & Longevity,AGNG,24,0.04,0.03977513718371938
LULU,LULULEMON ATHLETICA INC,5600,0.2515496987298449,0.9775574461447607,Bio-Economy & Longevity,AGNG,25,0.04,0.03975627776856003
CHDN,CHURCHILL DOWNS INC,7940,0.21493229922683954,0.9994193534189304,Defence & Security,FITE,1,0.04,0.04056144055906648
IEX,IDEX CORP,3561,0.5492724789825201,0.9979177842265191,Defence & Security,FITE,2,0.04,0.040500499364226734
IAC,IAC INC,4833,0.22845123026874492,0.996361625823309,Defence & Security,FITE,3,0.04,0.040437342665933504
MANH,MANHATTAN ASSOCIATES INC,7370,0.2374007611088238,0.9942588131476142,Defence & Security,FITE,4,0.04,0.04035200000065464
GTLS,CHART INDUSTRIES INC,3443,0.33501075845823625,0.9913798372962035,Defence & Security,FITE,5,0.04,0.04023515674815157
SYNH,SYNEOS HEALTH INC,9999,0.17805434702428724,0.9903949041015911,Defence & Security,FITE,6,0.04,0.04019518322843609
APO,APOLLO GLOBAL MANAGEMENT INC NEW,6282,0.34918584005466125,0.9903865773377482,Defence & Security,FITE,7,0.04,0.0401948452866747
AZPN,ASPEN TECHNOLOGY INC,7372,0.3072522576432286,0.9898224247279955,Defence & Security,FITE,8,0.04,0.04017194914956424
GDDY,GODADDY INC,7373,0.31182857714054546,0.9861884332742556,Defence & Security,FITE,9,0.04,0.04002446358423195
SQ,BLOCK INC,7372,0.5376897573738998,0.9843178788212483,Defence & Security,FITE,10,0.04,0.03994854712033859
IBKR,INTERACTIVE BROKERS GROUP INC,6211,0.2094388951969991,0.9843113184802083,Defence & Security,FITE,11,0.04,0.03994828086885743
WEN,WENDYS CO,5812,0.1418823586547826,0.9837265849344249,Defence & Security,FITE,12,0.04,0.03992454945433254
VMW,VMWARE INC,7372,0.20743842507168986,0.9829722814103848,Defence & Security,FITE,13,0.04,0.03989393604120503
NUAN,NUANCE COMMUNICATIONS INC,7372,0.3107671829254235,0.9820751629437252,Defence & Security,FITE,14,0.04,0.039857526482759545
ALGM,ALLEGRO MICROSYSTEMS INC,9999,0.5593380439016213,0.9818916065621661,Defence & Security,FITE,15,0.04,0.03985007684589352
OMF,ONEMAIN HOLDINGS INC,6141,0.3559590638122003,0.9816349244484635,Defence & Security,FITE,16,0.04,0.039839659400742085
XLS,EXELIS INC,3812,0.29635601911033704,0.9815497677665327,Defence & Security,FITE,17,0.04,0.039836203316286116
LSCC,LATTICE SEMICONDUCTOR CORP,3670,0.5578038023345152,0.9813473348403285,Defence & Security,FITE,18,0.04,0.03982798757474045
HEI,HEICO CORP NEW,3724,0.40958608708399746,0.9809166867682235,Defence & Security,FITE,19,0.04,0.03981050972010535
ODFL,OLD DOMINION FREIGHT LINE INC,4210,0.39667008655310165,0.9808490185217111,Defence & Security,FITE,20,0.04,0.03980776340390759
EHC,ENCOMPASS HEALTH CORP,8069,0.24855173084294013,0.9801552567577502,Defence & Security,FITE,21,0.04,0.039779607078482444
USM,UNITED STATES CELLULAR CORP,4812,0.2124016073421069,0.9799347021681275,Defence & Security,FITE,22,0.04,0.039770655869116316
MSA,M S A SAFETY INC,3842,0.3142462788038545,0.9793902250733575,Defence & Security,FITE,23,0.04,0.03974855826290153
WSO,WATSCO INC,5075,0.3088999392727644,0.9792996151216448,Defence & Security,FITE,24,0.04,0.03974488085745818
BRKR,BRUKER CORP,3826,0.23213929780422016,0.9791393652621755,Defence & Security,FITE,25,0.04,0.039738377115933435
